image_name,vit_small_patch16_224,vit_base_patch16_224,vit_large_patch16_224
118.JPEG,133.0646514892578,255.79238891601562,340.4543762207031
119.JPEG,126.46809387207031,253.52548217773438,341.35980224609375
120.JPEG,125.14057159423828,248.000244140625,336.1044616699219
121.JPEG,144.7998504638672,264.64154052734375,343.18109130859375
122.JPEG,130.35166931152344,270.5380859375,370.0894470214844
123.JPEG,125.84720611572266,274.47222900390625,319.1457824707031
124.JPEG,121.8316650390625,256.4743347167969,327.239990234375
125.JPEG,123.08872985839844,239.79473876953125,342.5467529296875
126.JPEG,113.94539642333984,245.84629821777344,316.85205078125
127.JPEG,128.33126831054688,273.4215087890625,314.2981262207031
128.JPEG,121.02201843261719,251.9267120361328,288.6999206542969
129.JPEG,130.8306427001953,266.86920166015625,341.4730529785156
130.JPEG,111.25296783447266,248.14500427246094,327.4249267578125
131.JPEG,125.2046890258789,252.1953887939453,347.23016357421875
132.JPEG,129.2947540283203,277.2630615234375,335.08087158203125
133.JPEG,118.85894012451172,265.9725646972656,358.19622802734375
134.JPEG,112.81501770019531,278.0390625,324.3582458496094
135.JPEG,150.43299865722656,212.8447265625,340.9528503417969
136.JPEG,130.8772430419922,260.9107360839844,350.2948303222656
137.JPEG,122.02305603027344,266.1232604980469,332.2861328125
138.JPEG,112.73186492919922,279.4193420410156,361.9718017578125
139.JPEG,118.56497955322266,256.5325012207031,313.7550964355469
140.JPEG,123.88436126708984,279.23175048828125,349.6444091796875
141.JPEG,125.81717681884766,246.65122985839844,344.5377197265625
142.JPEG,134.6707000732422,248.22731018066406,365.2261962890625
143.JPEG,126.7134780883789,253.45230102539062,320.3641662597656
144.JPEG,117.59619903564453,268.78924560546875,328.9313659667969
145.JPEG,140.55532836914062,277.4175720214844,329.0185852050781
146.JPEG,135.13699340820312,263.3257141113281,369.0926818847656
147.JPEG,111.28965759277344,276.9925231933594,346.36602783203125
148.JPEG,119.43509674072266,251.7639617919922,344.8795166015625
149.JPEG,137.2906951904297,263.5584716796875,326.3767395019531
150.JPEG,121.19239044189453,279.9392395019531,324.927978515625
151.JPEG,117.6173324584961,264.98980712890625,325.5988464355469
152.JPEG,126.50758361816406,234.589599609375,333.7727355957031
153.JPEG,131.04705810546875,265.79339599609375,328.1637878417969
154.JPEG,143.54885864257812,282.0752258300781,367.3820495605469
155.JPEG,120.07893371582031,262.60302734375,362.8133239746094
156.JPEG,119.80829620361328,260.6095275878906,321.35186767578125
157.JPEG,141.7705078125,250.11795043945312,310.07403564453125
158.JPEG,124.00860595703125,234.24203491210938,319.0143127441406
159.JPEG,121.47733306884766,272.9438781738281,350.9778137207031
160.JPEG,128.95864868164062,253.90757751464844,337.5028076171875
161.JPEG,118.45266723632812,278.5353698730469,323.75384521484375
162.JPEG,116.30016326904297,262.8471984863281,338.1839904785156
163.JPEG,136.162109375,262.15264892578125,341.34820556640625
164.JPEG,122.30888366699219,246.1595916748047,316.57177734375
165.JPEG,151.07687377929688,228.05470275878906,312.6629943847656
166.JPEG,143.7034912109375,269.23016357421875,323.6280822753906
167.JPEG,122.10057067871094,244.7529754638672,329.7197570800781
168.JPEG,127.87640380859375,242.69601440429688,316.6011047363281
169.JPEG,139.97837829589844,242.46974182128906,323.771728515625
170.JPEG,135.5537567138672,237.40206909179688,300.95330810546875
171.JPEG,131.55941772460938,267.09368896484375,350.7715759277344
172.JPEG,136.66305541992188,275.0220947265625,330.26690673828125
173.JPEG,133.7520294189453,266.264892578125,323.2378234863281
174.JPEG,117.49663543701172,251.63038635253906,350.0036926269531
175.JPEG,132.92185974121094,259.5130310058594,327.20050048828125
176.JPEG,141.60589599609375,266.2769775390625,347.47412109375
177.JPEG,119.01212310791016,236.2976837158203,350.9349365234375
178.JPEG,124.81768035888672,245.5196075439453,315.5314636230469
179.JPEG,126.75445556640625,280.3992004394531,329.1683044433594
180.JPEG,118.68379211425781,272.30035400390625,306.3369140625
181.JPEG,123.07249450683594,274.21746826171875,333.5801086425781
182.JPEG,130.52249145507812,259.41943359375,339.5663757324219
183.JPEG,118.31224060058594,253.86245727539062,341.9124450683594
184.JPEG,142.4385986328125,251.9971466064453,309.0162048339844
185.JPEG,110.2933120727539,276.7701721191406,328.2129821777344
186.JPEG,123.27168273925781,273.91973876953125,334.1356506347656
187.JPEG,132.7577667236328,268.7382507324219,320.5365295410156
188.JPEG,122.57225799560547,250.09864807128906,336.5520935058594
189.JPEG,143.14064025878906,257.89361572265625,342.9244384765625
190.JPEG,124.35327911376953,244.73846435546875,361.1266784667969
191.JPEG,139.6793212890625,252.2758026123047,349.54132080078125
192.JPEG,128.25588989257812,274.36859130859375,330.8383483886719
193.JPEG,110.13154602050781,265.62725830078125,325.8379211425781
