image_name,densenet121,densenet169,densenet201
172.JPEG,357.86016845703125,520.0750122070312,659.292724609375
173.JPEG,331.6607666015625,570.1708374023438,674.1221923828125
174.JPEG,328.7164611816406,582.6212158203125,673.8726196289062
175.JPEG,348.949951171875,518.9215087890625,639.6846923828125
176.JPEG,332.8404541015625,514.6334838867188,631.899169921875
177.JPEG,354.230224609375,577.2149658203125,660.3447875976562
178.JPEG,350.88763427734375,572.04052734375,661.8347778320312
179.JPEG,333.50128173828125,580.5916137695312,608.3836669921875
180.JPEG,329.6333312988281,589.05126953125,649.9900512695312
181.JPEG,330.2848815917969,531.1211547851562,685.8546752929688
182.JPEG,342.09375,537.5809936523438,655.1390991210938
183.JPEG,352.64111328125,534.0560302734375,670.4264526367188
184.JPEG,380.7866516113281,571.5055541992188,636.0873413085938
185.JPEG,316.7225341796875,564.0896606445312,673.012451171875
186.JPEG,322.6932067871094,576.0347900390625,655.343994140625
187.JPEG,348.6980895996094,542.6962890625,662.2890625
188.JPEG,345.5466613769531,576.4193115234375,649.29638671875
189.JPEG,356.1783752441406,592.48583984375,636.2780151367188
190.JPEG,364.7047424316406,564.1337890625,590.9821166992188
191.JPEG,346.5291442871094,512.9552001953125,674.17919921875
192.JPEG,328.9847717285156,558.4890747070312,653.386962890625
193.JPEG,346.7530822753906,567.6150512695312,633.884521484375
194.JPEG,330.0379333496094,544.8410034179688,692.2857055664062
195.JPEG,376.3544006347656,547.99755859375,648.1033935546875
196.JPEG,356.0777282714844,529.8429565429688,683.4793090820312
197.JPEG,369.5146484375,582.8180541992188,659.9823608398438
198.JPEG,352.1085510253906,535.0812377929688,658.6343994140625
199.JPEG,364.02325439453125,566.601806640625,661.7386474609375
200.JPEG,349.6673278808594,555.5816650390625,686.4929809570312
